deny,black,hisp,PIratio,HEIratio,LVmed,LVhi,creditscore,publicrecord,PMIdenied,selfemp,single,school1,uria,condo
0,0,0,.221,.221,1,0,2,0,0,0,0,1,3.9,0
0,0,0,.265,.265,1,0,2,0,0,0,1,1,3.2,0
0,0,0,.372,.248,1,0,2,0,0,0,0,1,3.2,0
0,0,0,.32,.25,1,0,2,0,0,0,0,1,4.3,0
0,0,0,.36,.35,0,0,1,0,0,0,0,1,3.2,0
0,0,0,.24,.17,0,0,1,0,0,0,0,1,3.9,0
0,0,0,.35,.29,0,0,2,0,0,0,1,1,3.9,1
0,0,1,.37,.25,1,0,2,0,0,0,0,1,5.3,0
0,0,0,.28,.22,1,0,2,0,0,0,0,1,1.8,0
1,0,0,.31,.24,1,0,2,0,1,0,0,1,3.1,0
0,0,0,.36,.28,1,0,2,0,0,0,1,1,3.2,0
1,1,0,.34,.18,1,0,2,0,1,0,0,1,3.2,0
0,0,1,.24,.23,1,0,2,0,0,0,0,1,3.2,0
0,0,0,.18,.17,0,0,1,0,0,0,1,1,3.9,0
0,0,0,.28,.27,0,0,2,0,0,0,1,1,3.1,1
0,0,0,.31,.3,0,0,2,0,0,0,1,1,4.3,0
1,0,0,.28,.27,0,0,2,0,1,0,0,1,4.3,0
0,0,0,.36,.34,0,0,1,0,0,0,0,1,10.6,0
0,0,0,.18,.15,0,0,1,0,0,0,0,1,3.2,0
0,0,0,.36,.27,1,0,1,0,0,0,0,1,3.2,0
0,0,0,.23,.22,0,0,1,0,0,0,0,1,3.2,0
0,0,0,.32,.27,0,0,1,0,0,0,0,1,3.2,0
0,0,0,.31,.29,0,0,2,0,0,0,0,1,4.3,0
0,0,0,.37,.28,1,0,2,0,0,0,1,1,3.1,0
1,1,0,.84,.53,1,0,2,0,1,0,0,1,3.2,0
1,0,0,.37,.22,1,0,1,1,1,0,0,1,3.1,0
0,0,0,.39,.31,1,0,2,0,0,0,0,1,5.3,0
0,0,0,.32,.32,0,0,2,0,0,0,1,1,10.6,0
0,0,0,.39,.33,1,0,2,0,0,0,0,1,3.2,0
0,0,0,.33,.31,0,0,2,0,0,0,1,1,3.9,0
0,0,0,.28,.13,0,0,2,0,0,0,1,1,3.2,1
0,0,1,.41,.22,0,0,1,0,0,0,0,1,1.8,0
0,0,0,.37,.28,1,0,2,0,0,0,1,1,1.8,1
0,0,0,.3,.25,0,0,2,0,0,0,1,1,3.2,0
0,0,0,.31,.29,1,0,2,0,0,0,0,1,3.9,0
0,1,0,.26,.21,1,0,2,0,0,0,1,1,1.8,0
